file,storage consumption
1119,333420138
1120,333424380
1121,333508019
1122,333861082
1123,334118771
1124,334221352
1125,335548423
1126,336545961
1127,336551164
1128,336554736
1129,337592764
1130,338007769
1131,339577206
1132,340071904
1133,340076590
1134,340444512
1135,340480281
1136,340516508
1137,342052923
1138,342112585
1139,342154050
1140,342167092
1141,342206525
1142,342526252
1143,342527984
1144,342903253
1145,342907368
1146,343035403
1147,344568718
1148,344901305
1149,344943602
1150,345355037
1151,345718477
1152,346099722
1153,346467342
1154,346473044
1155,346477730
1156,348168590
1157,348558724
1158,348564453
1159,348580518
1160,349770585
1161,350119614
1162,351671557
1163,351685611
1164,351689546
1165,353432676
1166,353761249
1167,353814262
1168,354147925
1169,355682556
1170,355685804
1171,355691928
1172,355695591
1173,355700655
1174,356034543
1175,356069154
1176,356109152
1177,356534095
1178,358032085
1179,359199232
1180,359242953
1181,359575590
1182,359575700
1183,359578944
1184,359614723
1185,359632953
1186,359668136
1187,361185365
1188,361189586
1189,361205595
1190,361206896
1191,361211204
1192,361221037
1193,361583586
1194,361619675
1195,361657192
1196,361670723
1197,362218531
1198,362555044
1199,364000393
1200,364002969
1201,364366759
1202,364705673
1203,364710446
1204,364750707
1205,365089970
1206,365103823
1207,365493165
1208,365874969
1209,365879526
1210,365903455
1211,365930827
1212,366190765
1213,366195158
1214,366602086
1215,366615462
1216,366666956
1217,366687253
1218,366697580
1219,368251527
1220,369739108
1221,369744716
1222,369750469
1223,369751498
1224,370090267
1225,370100229
1226,370105114
1227,370106614
1228,371166051
1229,371167186
1230,371701301
1231,371703496
1232,371707603
1233,371711751
1234,372705109
1235,372765612
1236,372778737
1237,373209292
1238,373211024
1239,373255119
1240,373259498
1241,373263158
1242,373264066
1243,373267862
1244,373270827
1245,373312209
1246,373656916
1247,373673579
1248,373679417
1249,373691979
1250,373698365
1251,374139141
1252,374144065
1253,374148838
1254,374522063
1255,375630698
1256,375631566
1257,376655164
1258,376658428
1259,376698159
1260,376704200
1261,376708440
1262,376718310
1263,376723195
1264,376734108
1265,377089096
1266,377094790
1267,377095735
1268,377502535
1269,379015102
1270,380563459
1271,380773576
1272,380779081
1273,381079400
1274,381079510
1275,382598448
1276,382610781
1277,382654146
1278,382665462
1279,383818834
1280,384195643
1281,385608869
1282,385624201
1283,385957133
1284,385962052
1285,387489068
1286,387490169
1287,387824669
1288,387944487
1289,387950305
1290,388045814
1291,389043178
1292,389085147
1293,390593021
1294,390639812
1295,390640733
1296,390680490
