file,origin size,dest size
187,94602526720,0
188,95139397632,0
189,95676268544,0
190,96213139456,96226799616
191,96750010368,0
192,97286881280,0
193,97823752192,0
194,98360623104,0
195,98897494016,0
196,99434364928,0
197,99971235840,0
198,100508106752,0
199,101044977664,0
200,101581848576,101571723264
201,102112428032,0
202,102649298944,0
203,103186169856,0
204,103723040768,0
205,104259911680,0
206,104796782592,0
207,105333653504,0
208,105870524416,0
209,106407395328,0
210,106944266240,107049033728
211,107481137152,0
212,108018008064,0
213,108554878976,0
214,109091749888,0
215,109628620800,0
216,110165491712,0
217,110702362624,0
218,111112355840,0
219,111649226752,0
220,112186097664,112350777344
221,112722968576,0
222,113259839488,0
223,113796710400,0
224,114333581312,0
225,114870452224,0
226,115407323136,0
227,115944194048,0
228,116481064960,0
229,117017935872,0
230,117554806784,117644759040
231,118091677696,0
232,118628548608,0
233,119165419520,0
234,119702290432,0
235,120239161344,0
236,120776032256,0
237,121312903168,0
238,121849774080,0
239,122386644992,0
240,122923515904,123139743744
241,123460386816,0
242,123997257728,0
243,124534128640,0
244,125070999552,0
245,125607870464,0
246,126144741376,0
247,126681612288,0
248,127218483200,0
249,127755354112,0
250,127809880064,127988785152
251,128346750976,0
252,128883621888,0
253,129420492800,0
254,129957363712,0
255,130494234624,0
256,131031105536,0
257,131567976448,0
258,132104847360,0
259,132356505600,0
260,132893376512,133309210624
261,133430247424,0
262,133967118336,0
263,134214582272,0
264,134564806656,0
265,135101677568,0
266,135638548480,0
267,135783251968,0
268,136320122880,0
269,136856993792,0
270,137393864704,137585774592
271,137930735616,0
272,138467606528,0
273,139004477440,0
274,139541348352,0
275,140078219264,0
276,140615090176,0
277,141151961088,0
278,141688832000,0
279,142225702912,0
280,142762573824,143066370048
281,143299444736,0
282,143836315648,0
283,144373186560,0
284,144910057472,0
285,145446928384,0
286,145983799296,0
287,146520670208,0
288,147057541120,0
289,147594412032,0
290,148131282944,148366942208
291,148668153856,0
292,149205024768,0
293,149741895680,0
294,150278766592,0
295,150389915648,0
296,150926786560,0
297,151463657472,0
298,152000528384,0
299,152537399296,0
300,153074270208,153412988928
301,153611141120,0
302,154148012032,0
303,154684882944,0
304,155221753856,0
305,155758624768,0
306,156295495680,0
307,156832366592,0
308,157369237504,0
309,157906108416,0
310,158442979328,158668341248
311,158979850240,0
312,159516721152,0
313,160053592064,0
314,160590462976,0
315,161127333888,0
316,161664204800,0
317,162201075712,0
318,162737946624,0
319,163274817536,0
320,163470901248,163707060224
321,164007772160,0
322,164544643072,0
323,165081513984,0
324,165091999744,0
325,165628870656,0
326,166165741568,0
327,166702612480,0
328,167239483392,0
329,167776354304,0
330,168313225216,168588636160
331,168850096128,0
332,169386967040,0
333,169923837952,0
334,170460708864,0
335,170905305088,0
336,171442176000,0
337,171979046912,0
338,172515917824,0
339,173052788736,0
340,173589659648,173947977728
341,174126530560,0
342,174663401472,0
343,175200272384,0
344,175737143296,0
345,176274014208,0
346,176810885120,0
347,177347756032,0
348,177884626944,0
349,178421497856,0
350,178958368768,179264212992
351,179495239680,0
352,180032110592,0
353,180568981504,0
354,181105852416,0
355,181139406848,0
356,181676277760,0
357,182213148672,0
358,182750019584,0
359,183286890496,0
360,183823761408,184247070720
361,184360632320,0
362,184897503232,0
363,185434374144,0
364,185971245056,0
365,186508115968,0
366,186719928320,0
367,186780745728,0
368,187138310144,0
369,187675181056,0
370,188212051968,188792786944
371,188748922880,0
372,189285793792,0
373,189822664704,0
374,190359535616,0
375,190896406528,0
376,191071518720,0
377,191608389632,0
378,192145260544,0
379,192682131456,0
380,192972587008,192918728704
381,193509457920,0
382,194046328832,0
383,194583199744,0
384,195120070656,0
385,195656941568,0
386,196193812480,0
387,196730683392,0
388,197267554304,0
389,197804425216,0
390,198341296128,198729244672
391,198878167040,0
392,199415037952,0
393,199951908864,0
394,200488779776,0
395,201025650688,0
396,201562521600,0
397,202099392512,0
398,202636263424,0
399,203173134336,0
400,203710005248,204148641792
401,204246876160,0
402,204783747072,0
403,205320617984,0
404,205857488896,0
405,206394359808,0
406,206931230720,0
407,207468101632,0
408,208004972544,0
409,208541843456,0
410,209078714368,209581355008
411,209615585280,0
412,210152456192,0
413,210689327104,0
414,211226198016,0
415,211763068928,0
416,212299939840,0
417,212836810752,0
418,213373681664,0
419,213627437056,0
420,214164307968,214612602880
421,214701178880,0
422,215238049792,0
423,215608197120,0
424,216145068032,0
425,216681938944,0
426,217218809856,0
427,217755680768,0
428,218292551680,0
429,218829422592,0
430,219366293504,219809513472
431,219903164416,0
432,220440035328,0
433,220976906240,0
434,221338664960,0
435,221875535872,0
436,222412406784,0
437,222496292864,0
438,222892654592,0
439,223429525504,0
440,223966396416,224659439616
441,224503267328,0
442,225040138240,0
443,225577009152,0
444,226113880064,0
445,226650750976,0
446,227187621888,0
447,227724492800,0
448,228261363712,0
449,228798234624,0
450,229335105536,229806116864
451,229871976448,0
452,230408847360,0
453,230945718272,0
454,231482589184,0
455,232019460096,0
456,232556331008,0
457,233093201920,0
458,233630072832,0
459,234166943744,0
460,234703814656,235476340736
461,235240685568,0
462,235777556480,0
463,236314427392,0
464,236851298304,0
465,237388169216,0
466,237925040128,0
467,238461911040,0
468,238998781952,0
469,239535652864,0
470,240072523776,240661106688
471,240609394688,0
472,241146265600,0
473,241683136512,0
474,242220007424,0
475,242756878336,0
476,243293749248,0
477,243830620160,0
478,244367491072,0
479,244904361984,0
480,245441232896,245939486720
481,245978103808,0
482,246514974720,0
483,247051845632,0
484,247212277760,0
485,247749148672,0
486,248286019584,0
487,248505171968,0
488,249042042880,0
489,249578913792,0
490,250115784704,250722836480
