file,original,physical end
378,186586759168,0
379,187123630080,0
380,187660500992,0
381,188197371904,0
382,188734242816,0
383,189185130496,0
384,189722001408,0
385,190258872320,0
386,190795743232,0
387,191332614144,0
388,191869485056,0
389,192406355968,0
390,192943226880,0
391,193480097792,0
392,194016968704,0
393,194553839616,0
394,195090710528,0
395,195627581440,0
396,195635970048,0
397,196172840960,0
398,196709711872,0
399,197246582784,0
400,197783453696,187683151872.0
401,198320324608,0
402,198857195520,0
403,199394066432,0
404,199930937344,0
405,200467808256,0
406,201004679168,0
407,201541550080,0
408,202078420992,0
409,202615291904,0
410,202960273408,0
411,203497144320,0
412,204034015232,0
413,204570886144,0
414,205107757056,0
415,205644627968,0
416,206181498880,0
417,206718369792,0
418,207255240704,0
419,207792111616,0
420,208328982528,0
421,208865853440,0
422,209402724352,0
423,209717297152,0
424,210254168064,0
425,210791038976,0
426,211327909888,0
427,211864780800,0
428,212401651712,0
429,212938522624,0
430,213475393536,0
431,214012264448,0
432,214549135360,0
433,215086006272,0
434,215622877184,0
435,216159748096,0
436,216696619008,0
437,217233489920,0
438,217770360832,0
439,218189791232,0
440,218726662144,0
441,219263533056,0
442,219800403968,0
443,220337274880,0
444,220471492608,0
445,221008363520,0
446,221545234432,0
447,222082105344,0
448,222618976256,0
449,223155847168,0
450,223692718080,0
451,224229588992,0
452,224766459904,0
453,225303330816,0
454,225840201728,0
455,226377072640,0
456,226913943552,0
457,227450814464,0
458,227987685376,0
459,228524556288,0
460,229061427200,0
461,229598298112,0
462,230135169024,0
463,230672039936,0
464,231208910848,0
465,231745781760,0
466,232282652672,0
467,232722006016,0
468,233258876928,0
469,233795747840,0
470,234332618752,0
471,234869489664,0
472,235406360576,0
473,235943231488,0
474,236243124224,0
475,236779995136,0
476,237316866048,0
477,237853736960,0
478,238390607872,0
479,238565720064,0
480,239102590976,0
481,239639461888,0
482,240176332800,0
483,240713203712,0
484,241250074624,0
485,241786945536,0
486,242323816448,0
487,242860687360,0
488,243397558272,0
489,243934429184,0
490,244471300096,0
491,245008171008,0
492,245545041920,0
493,246081912832,0
494,246277996544,0
495,246814867456,0
496,247351738368,0
497,247888609280,0
498,248425480192,0
499,248962351104,0
500,249499222016,235743948800.0
501,250036092928,0
502,250572963840,0
503,251109834752,0
504,251646705664,0
505,251842789376,0
506,252379660288,0
507,252916531200,0
508,253453402112,0
509,253990273024,0
510,254527143936,0
511,255064014848,0
512,255600885760,0
513,256137756672,0
514,256674627584,0
515,256739639296,0
516,257276510208,0
517,257813381120,0
518,258350252032,0
519,258887122944,0
520,259423993856,0
521,259960864768,0
522,260087742464,0
523,260624613376,0
524,261161484288,0
525,261698355200,0
526,262235226112,0
527,262772097024,0
528,263308967936,0
529,263845838848,0
530,264382709760,0
531,264919580672,0
532,265456451584,0
533,265993322496,0
534,266530193408,0
535,267067064320,0
536,267603935232,0
537,268140806144,0
538,268677677056,0
539,269214547968,0
540,269751418880,0
541,270288289792,0
542,270825160704,0
543,271362031616,0
544,271898902528,0
545,272435773440,0
546,272972644352,0
547,273509515264,0
548,274046386176,0
549,274202624000,0
550,274739494912,0
551,275276365824,0
552,275813236736,0
553,276350107648,0
554,276886978560,0
555,277423849472,0
556,277960720384,0
557,278497591296,0
558,279034462208,0
559,279571333120,0
560,280108204032,0
561,280645074944,0
562,281181945856,0
563,281718816768,0
564,282255687680,0
565,282792558592,0
566,283329429504,0
567,283866300416,0
568,284403171328,0
569,284940042240,0
570,285476913152,0
571,286013784064,0
572,286257053696,0
573,286793924608,0
574,287330795520,0
575,287867666432,0
576,288404537344,0
577,288941408256,0
578,289478279168,0
579,290015150080,0
580,290552020992,0
581,291088891904,0
582,291625762816,0
583,292162633728,0
584,292699504640,0
585,293236375552,0
586,293773246464,0
587,294310117376,0
588,294846988288,0
589,295383859200,0
590,295920730112,0
591,296457601024,0
592,296994471936,0
593,297531342848,0
594,298068213760,0
595,298605084672,0
596,298899734528,0
597,299436605440,0
598,299973476352,0
599,300510347264,0
600,301047218176,282790375424.0
601,301584089088,0
602,302120960000,0
603,302657830912,0
604,303194701824,0
605,303731572736,0
606,304268443648,0
607,304805314560,0
608,305342185472,0
609,305879056384,0
610,306172657664,0
611,306709528576,0
612,307246399488,0
613,307783270400,0
614,308320141312,0
615,308857012224,0
616,309393883136,0
617,309930754048,0
618,310467624960,0
619,311004495872,0
620,311541366784,0
621,312078237696,0
622,312615108608,0
623,313151979520,0
624,313688850432,0
625,314225721344,0
626,314762592256,0
627,315299463168,0
628,315836334080,0
629,316373204992,0
630,316910075904,0
631,317446946816,0
632,317983817728,0
633,318520688640,0
634,319057559552,0
635,319594430464,0
636,320131301376,0
637,320668172288,0
638,321205043200,0
639,321741914112,0
640,322278785024,0
641,322815655936,0
642,323216211968,0
643,323718479872,0
644,324255350784,0
645,324792221696,0
646,325329092608,0
647,325836603392,0
648,326373474304,0
649,326910345216,0
650,327447216128,0
651,327984087040,0
652,328520957952,0
653,328581775360,0
654,329118646272,0
655,329655517184,0
656,330192388096,0
657,330577215488,0
658,331114086400,0
659,331650957312,0
660,331677171712,0
661,332214042624,0
662,332750913536,0
663,333287784448,0
664,333824655360,0
665,334361526272,0
666,334898397184,0
667,335435268096,0
668,335972139008,0
669,336509009920,0
670,337045880832,0
671,337582751744,0
672,338119622656,0
673,338656493568,0
674,339193364480,0
675,339730235392,0
676,340012302336,0
677,340323729408,0
678,340860600320,0
679,341397471232,0
680,341934342144,0
681,342471213056,0
682,343008083968,0
683,343168516096,0
684,343705387008,0
685,344012619776,0
686,344549490688,0
687,345086361600,0
688,345623232512,0
689,346160103424,0
690,346696974336,0
691,347233845248,0
692,347770716160,0
693,348307587072,0
694,348844457984,0
695,349381328896,0
696,349918199808,0
697,350455070720,0
698,350991941632,0
699,351528812544,0
700,352065683456,145654988800.0
701,352602554368,0
702,353080705024,0
703,353332363264,0
704,353869234176,0
705,354406105088,0
706,354942976000,0
707,355479846912,0
708,356016717824,0
709,356553588736,0
710,357090459648,0
711,357627330560,0
712,358164201472,0
713,358701072384,0
714,359237943296,0
715,359774814208,0
716,360311685120,0
717,360848556032,0
718,361385426944,0
719,361922297856,0
720,362459168768,0
721,362996039680,0
722,363532910592,0
723,364069781504,0
724,364606652416,0
725,365143523328,0
726,365680394240,0
727,366217265152,0
728,366754136064,0
729,367291006976,0
730,367827877888,0
731,368364748800,0
732,368901619712,0
733,369438490624,0
734,369975361536,0
735,370512232448,0
736,371049103360,0
737,371585974272,0
738,372122845184,0
739,372659716096,0
740,373196587008,0
741,373733457920,0
742,374270328832,0
743,374807199744,0
744,375344070656,0
745,375880941568,0
746,376417812480,0
747,376954683392,0
748,377491554304,0
749,378028425216,0
750,378565296128,0
751,379102167040,0
752,379639037952,0
753,380175908864,0
754,380712779776,0
755,381116481536,0
756,381653352448,0
757,382190223360,0
758,382727094272,0
759,383263965184,0
760,383800836096,0
761,384319881216,0
762,384856752128,0
763,385393623040,0
764,385930493952,0
765,386467364864,0
766,387004235776,0
767,387541106688,0
768,388077977600,0
769,388614848512,0
770,389151719424,0
771,389688590336,0
772,390225461248,0
773,390762332160,0
774,391299203072,0
775,391836073984,0
776,392372944896,0
777,392406499328,0
778,392943370240,0
779,393480241152,0
780,394017112064,0
781,394553982976,0
782,395090853888,0
783,395627724800,0
784,396164595712,0
785,396244287488,0
786,396781158400,0
787,397318029312,0
788,397854900224,0
789,398391771136,0
790,398922350592,0
791,399459221504,0
792,399996092416,0
793,400532963328,0
794,401069834240,0
795,401606705152,0
796,402143576064,0
797,402680446976,0
798,403217317888,0
799,403754188800,0
800,404291059712,177431617536.0
801,404827930624,0
802,405364801536,0
803,405901672448,0
804,406438543360,0
805,406975414272,0
806,407512285184,0
807,408049156096,0
808,408586027008,0
809,409122897920,0
810,409659768832,0
811,410196639744,0
812,410733510656,0
813,411270381568,0
814,411807252480,0
815,412344123392,0
816,412880994304,0
817,413417865216,0
818,413954736128,0
819,414491607040,0
820,415028477952,0
821,415068323840,0
822,415299010560,0
823,415835881472,0
824,416372752384,0
825,416909623296,0
826,417446494208,0
827,417983365120,0
828,418520236032,0
829,419057106944,0
830,419593977856,0
831,420130848768,0
832,420667719680,0
833,421204590592,0
834,421741461504,0
835,422278332416,0
836,422815203328,0
837,423352074240,0
838,423599538176,0
839,424136409088,0
840,424673280000,0
841,425170305024,0
842,425707175936,0
843,425896968192,0
844,426433839104,0
845,426970710016,0
846,427507580928,0
847,428044451840,0
848,428581322752,0
849,429118193664,0
850,429655064576,0
851,430191935488,0
852,430728806400,0
853,431265677312,0
854,431802548224,0
855,432339419136,0
856,432876290048,0
857,433413160960,0
858,433950031872,0
859,434486902784,0
860,435023773696,0
861,435560644608,0
862,436097515520,0
863,436634386432,0
864,437171257344,0
865,437708128256,0
866,438244999168,0
867,438781870080,0
868,439318740992,0
869,439855611904,0
870,440392482816,0
871,440929353728,0
872,441466224640,0
873,442003095552,0
874,442539966464,0
875,443076837376,0
876,443613708288,0
877,444150579200,0
878,444196716544,0
879,444301574144,0
880,444838445056,0
881,445375315968,0
882,445912186880,0
883,446449057792,0
884,446985928704,0
885,447522799616,0
886,448059670528,0
887,448596541440,0
888,449133412352,0
889,449670283264,0
890,450207154176,0
891,450744025088,0
892,451280896000,0
893,451817766912,0
894,452354637824,0
895,452891508736,0
896,453428379648,0
897,453965250560,0
898,454502121472,0
899,455038992384,0
